Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,
"'ysl'","'YSL'","'With a precision pencil tip to one end and a blending brush to the other, the YSL Dessin des Levres Lip Styler perfectly shapes and defines your lips, priming them to hold onto your chosen lip colour. The contemporary twist design includes a built-in sharpener and a flexible lip blenderfor achieving an airbrush-like finish.
'",Eslam Hosny M.,,"Dessin Des Lèvres Lip Styler","Beauty, Make-Up, Lips, Lipsticks",TRUE,https://www.harrods.com/en-bd/shopping/ysl-dessin-des-levres-lip-styler-15115007,Color,No Colour Available,Size,,,,,,,,deny,manual,'11',,TRUE,TRUE,,https://image.harrods.com/15/11/50/07/15115007_27018499_2048.jpg,1,,FALSE,,,,,,,"Dessin Des Lèvres Lip Styler",,,FALSE,,,,,,https://image.harrods.com/15/11/50/07/15115007_27018499_2048.jpg,g,,,active,
,"'Chantecaille'","'Brilliant Gloss is made from a hydrating and enriching formula that imparts long-lasting colour and brilliant shine. It safely plumps lips for a perfect pout and also includes green tea extract to protect delicate skin.
'",Eslam Hosny M.,,"Brilliant Gloss","Beauty, Make-Up, Lips, Lip Glosses",TRUE,https://www.harrods.com/en-bd/shopping/chantecaille-brilliant-gloss-15115450,Color,'PINK',Size,'OS',,,,,,,,,'16',,,,,https://image.harrods.com/15/11/54/50/15115450_25793137_2048.jpg,1,,FALSE,,,,,,,"Brilliant Gloss",,,FALSE,,,,,,https://image.harrods.com/15/11/54/50/15115450_25793137_2048.jpg,,,,active,
"'charlotte-tilbury'","'Charlotte Tilbury'","'A fail-safe recipe for perfect lips, enriched with a breakthrough, secret ingredient, the Lipstick Tree, an anti-oxidant that naturally protects lips from UV damage and external pollution leaving them cashmere soft and irresistible. A tropical plant originating from America, the plump yet prickly red fruits appear like pouting lips that blow kisses at you as you walk by. The colour from its seeds was originally used by Indigenous American people to paint and protect their lips.Blended with special waxes and clever light-diffusing pigments for pert, full-bodied, ultra-brilliant lips that ensure you leave a lasting impression, K.I.S.S.I.N.G is a signature range of 10 lipsticks curated with modern and classic icons in mind. It is a capsule colour wardrobe of backstage nudes to red carpet reds made to suit any skin tone. Perfect, full, kissable lips really do grow on trees…
'",Eslam Hosny M.,,"K.I.S.S.I.N.G","Beauty, Make-Up, Lips, Lipsticks",TRUE,https://www.harrods.com/en-bd/shopping/charlotte-tilbury-k-i-s-s-i-n-g-15116476,Color,'Penelope Pink',Size,'OS',,,,,,,deny,manual,'27',,TRUE,TRUE,,https://image.harrods.com/15/11/64/76/15116476_25796311_2048.jpg,1,,FALSE,,,,,,,"K.I.S.S.I.N.G",,,FALSE,,,,,,https://image.harrods.com/15/11/64/76/15116476_25796311_2048.jpg,g,,,active,
"'charlotte-tilbury'",,,,,,,,,,'Stoned Rose',,,,,,,,,deny,manual,'27',,TRUE,TRUE,,https://image.harrods.com/15/11/64/76/15116476_25796310_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'",,,,,,,,,,'Velvet Underground',,,,,,,,,deny,manual,'27',,TRUE,TRUE,,https://image.harrods.com/15/11/64/76/15116476_25796314_2048.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'",,,,,,,,,,'Night Crimson',,,,,,,,,deny,manual,'27',,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'",,,,,,,,,,'Love Bite',,,,,,,,,deny,manual,'27',,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'",,,,,,,,,,'Nude Kate',,,,,,,,,deny,manual,'27',,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'",,,,,,,,,,'Bitch Perfect',,,,,,,,,deny,manual,'27',,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'",,,,,,,,,,'So Red',,,,,,,,,deny,manual,'27',,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,
